table,N,LightLevel,block,rep,spp,chl_wt,chl_area,A6491,A6491.1,A6491.2,A6651,A6651.1,A6651.2,tla,focal.area,dry.focal.wt,fresh.focal.wt,sla,stem.wt,leaf.wt,roots.wt,nod.wt,biomass,n.leaf,c.leaf,Aamb,TPU,Vcmax,Jmax,Tleaf,TleafK
3,630 ppm,zero,one,5,Soybean,0.0177,1.769,0.174,0.175,0.173,0.509,0.516,0.513,223.692,23.769,0.0776,0.2569,306.3015464,0.5869,0.7686,0.5081,0.0124,1.8636,4.208642802,37.26851895,18.39958359,26.47686496,158.2242604,159.907625,28.08451261,301.2345126
4,630 ppm,thirty,one,5,Soybean,0.0209,1.996,0.152,0.122,0.125,0.415,0.367,0.373,353.456,24.98,0.0788,0.2831,317.0050761,0.7476,1.1369,0.4037,0.0077,2.2882,5.571831376,42.94987798,11.52148933,19.98898242,77.97572707,112.1507576,25.66478504,298.814785
1,630 ppm,fifty,one,5,Soybean,0.0163,1.893,0.164,0.152,0.153,0.439,0.43,0.431,377.343,14.13,0.0427,0.1453,330.9133489,0.7522,1.0431,0.2082,0.009,2.0035,5.092801736,42.93933457,10.90705572,17.39891486,87.49664732,95.0802499,27.9996783,301.1496783
2,630 ppm,eighty,one,5,Soybean,0.0115,1.7,0.083,0.092,0.093,0.25,0.278,0.278,260.906,16.753,0.0282,0.1288,594.0780142,0.403,0.4633,0.1001,0,0.9664,3.261592587,25.19383861,9.237316122,14.80522521,63.62380081,73.32110618,27.9893349,301.1393349
3,0 ppm,zero,one,6,Soybean,0.0218,2.085,0.121,0.118,0.136,0.357,0.346,0.389,368.834,12.647,0.0458,0.1637,276.1353712,0.7387,1.1764,0.3425,0.1729,2.2576,5.456027119,41.5708009,11.27358711,16.14916713,58.6324683,90.39899564,25.01791789,298.1679179
4,0 ppm,thirty,one,6,Soybean,0.0152,1.959,0.084,0.086,0.124,0.281,0.282,0.313,145.327,18.866,0.0432,0.184,436.712963,0.2246,0.3681,0.1533,0.053,0.746,4.734671635,42.4384628,15.62157091,20.21912258,94.4676019,113.3358985,25.44005103,298.590051
1,0 ppm,fifty,one,6,Soybean,0.0124,2.009,0.127,0.126,0.13,0.381,0.381,0.385,296.645,31.907,0.0549,0.2533,581.1839709,0.6312,0.6526,0.1455,0.083,1.4293,4.80625487,38.66697728,10.09905541,11.65870544,60.61968961,67.95634114,25.31036276,298.4603628
2,0 ppm,eighty,one,6,Soybean,0.0101,1.843,0.104,0.107,0.096,0.316,0.322,0.317,239.429,32.231,0.0564,0.2133,571.4716312,0.4275,0.4793,0.1279,0.04,1.0347,4.812124982,44.17544979,6.929142264,8.994318738,42.58922136,46.42368522,27.00102669,300.1510267
3,70 ppm,zero,one,6,Soybean,0.0191,2.006,0.132,0.13,0.136,0.382,0.38,0.399,394.49,32.46,0.1086,0.4018,298.8950276,0.8387,1.2566,0.4547,0.1148,2.55,4.763577147,42.39805535,15.37099171,21.83742223,92.66022472,124.4958447,25.0320566,298.1820566
4,70 ppm,thirty,one,6,Soybean,0.0144,1.83,0.085,0.085,0.087,0.273,0.274,0.274,481.313,31.318,0.0754,0.3022,415.3580902,0.8083,1.1249,0.2421,0.1168,2.1753,5.512989287,41.73778498,13.27962289,20.45816387,92.35770608,111.4200813,26.70679648,299.8567965
1,70 ppm,fifty,one,6,Soybean,0.0146,1.755,0.0126,0.125,0.13,0.37,0.369,0.374,309.549,31.3,0.0571,0.2343,548.1611208,0.8,0.8,0.3361,0.0092,1.9361,5.08298504,40.3725419,11.62128812,14.20190226,57.06970948,80.44510023,25.08303343,298.2330334
2,70 ppm,eighty,one,6,Soybean,0.01,1.866,0.07,0.072,0.07,0.215,0.217,0.215,247.998,19.173,0.0248,0.134,773.1048387,0.3387,0.3628,0.0473,0.005,0.7488,5.105974235,41.71825302,7.968343003,10.10488974,50.06206475,54.83780591,27.63562317,300.7856232
3,210 ppm,zero,one,6,Soybean,0.0207,2.095,0.121,0.127,0.144,0.362,0.369,0.389,253.609,10.677,0.0377,0.1385,283.2095491,0.7074,0.8962,0.4789,0,2.0825,5.26040666,42.84032866,11.09122011,16.81977315,67.0411429,94.44726523,25.04773607,298.1977361
4,210 ppm,thirty,one,6,Soybean,0.0189,2.029,0.129,0.147,0.128,0.411,0.431,0.41,587.818,28.533,0.0888,0.346,321.3175676,1.1924,1.7212,0.57,0.0072,3.4836,4.240691326,41.75809855,12.46412113,19.12910706,94.97659661,105.9855692,27.59583959,300.7458396
1,210 ppm,fifty,one,6,Soybean,0.0165,2.012,0.099,0.102,0.107,0.3,0.305,0.313,436.987,19.619,0.0495,0.2096,396.3434343,0.8174,1.0813,0.3405,8.00E-04,2.2392,5.451841452,40.88751485,8.994298402,11.85918187,52.55136103,68.12666879,25.18075425,298.3307543
2,210 ppm,eighty,one,6,Soybean,0.0104,1.719,0.09,0.088,0.088,0.267,0.267,0.267,349.062,26.538,0.0419,0.1658,633.3651551,0.6247,0.6996,0.1588,0.0053,1.4831,5.574379444,42.65066258,9.220671046,12.22930433,55.52950578,65.05597052,26.91579355,300.0657935
3,630 ppm,zero,one,6,Soybean,0.0214,2.05,0.088,0.091,0.092,0.268,0.27,0.272,587.241,38.039,0.1214,0.474,313.3360791,1.4131,1.8715,0.6398,0.0144,3.9244,4.420214673,40.93900746,15.61354627,20.79870913,90.11245123,115.3340075,25.10077361,298.2507736
4,630 ppm,thirty,one,6,Soybean,0.0176,1.959,0.118,0.117,0.117,0.359,0.358,0.358,679.282,26.538,0.0755,0.2643,351.4966887,1.3439,1.9124,0.6629,0.0175,3.9192,4.270199825,42.5707256,11.21625065,17.71905793,62.0233335,94.244304,26.48388299,299.633883
1,630 ppm,fifty,one,6,Soybean,0.0131,1.91,0.118,0.105,0.107,0.332,0.319,0.322,754.489,22.762,0.0533,0.2196,427.054409,1.5812,1.8608,0.3882,8.00E-04,3.8302,5.333931076,43.12920617,11.43882679,14.15732285,56.87468721,72.29461958,25.12094516,298.2709452
2,630 ppm,eighty,one,6,Soybean,0.0128,2.021,0.104,0.157,0.103,0.336,0.393,0.335,361.728,8.543,0.021,0.0683,406.8095238,0.5366,0.6,0.0835,0.0036,1.2201,5.686083234,41.49076641,6.869212737,12.29396351,42.72451142,65.95872799,27.37501759,300.5250176
3,0 ppm,zero,one,7,Soybean,0.0183,1.83,0.132,0.13,0.131,0.371,0.368,0.37,281.811,19.974,0.0541,0.215,369.2051756,0.5864,0.8427,0.4256,0.1105,1.8547,4.789632147,42.82647076,15.08877342,20.28435857,127.6163672,127.1496942,26.85393402,300.003934
4,0 ppm,thirty,one,7,Soybean,0.0157,1.923,0.134,0.14,0.141,0.432,0.436,0.438,577.191,26.818,0.0635,0.2595,422.3307087,0.9284,1.3467,0.4317,0.1357,2.7068,5.452630048,42.65603297,9.558158139,18.09824363,91.69235707,112.5911411,27.91328299,301.063283
1,0 ppm,fifty,one,7,Soybean,0.0129,1.832,0.113,0.116,0.121,0.343,0.347,0.358,288.502,18.699,0.0374,0.1538,499.973262,0.504,0.5582,0.1105,0.0441,1.1727,6.362797927,43.45179501,11.75848742,14.92177084,75.19565799,83.33441933,26.86889912,300.0188991
2,0 ppm,eighty,one,7,Soybean,0.0104,1.721,0.092,0.093,0.093,0.298,0.294,0.299,322.815,25.71,0.0369,0.1761,696.7479675,0.5727,0.6075,0.123,0.0502,1.3032,5.94729512,43.48519774,8.55333413,11.0435144,56.02974872,61.06688243,27.36650586,300.5165059
3,70 ppm,zero,one,7,Soybean,0.0176,1.883,0.112,0.112,0.111,0.326,0.326,0.325,376.554,31.045,0.0815,0.3439,380.9202454,1.0013,1.038,0.6795,0.0748,2.7188,4.540244004,42.63455767,13.96737663,18.97707526,102.3786874,120.1105472,27.2231912,300.3731912
4,70 ppm,thirty,one,7,Soybean,0.0136,1.73,0.089,0.091,0.089,0.299,0.3,0.297,574.821,49.483,0.097,0.4419,510.1340206,0.9242,1.1914,0.2925,0.1017,2.4081,5.025733841,42.99817104,15.15151109,18.17527174,104.9421619,107.0548038,26.86589267,300.0158927
1,70 ppm,fifty,one,7,Soybean,0.0116,1.644,0.045,0.046,0.045,0.136,0.135,0.135,303.623,31.83,0.0519,0.2403,613.2947977,0.5371,0.5287,0.136,0.0457,1.2018,5.529288675,43.46466869,14.19437745,18.96238751,101.6055434,117.0818257,27.28611613,300.4361161
2,70 ppm,eighty,one,7,Soybean,0.0105,1.809,0.085,0.088,0.1,0.243,0.295,0.307,286.434,21.476,0.0285,0.1537,753.5438596,0.4396,0.4835,0.0981,0.016,1.0212,5.940766119,42.8156002,8.105761177,10.06233194,46.99433981,55.64692932,27.03414281,300.1841428
3,210 ppm,zero,one,7,Soybean,0.0195,1.932,0.14,0.14,0.14,0.409,0.41,0.411,522.113,32.925,0.0911,0.3901,361.4160263,1.3717,NA,0.8622,0.0169,NA,5.141562743,43.33272692,13.91693905,22.65817776,106.0890377,136.4337436,27.66753108,300.8175311
4,210 ppm,thirty,one,7,Soybean,0.0177,1.954,0.146,0.137,0.14,0.431,0.423,0.426,733.397,20.188,0.0603,0.211,334.7927032,1.1284,1.6815,0.5584,0.0116,3.3683,4.540549849,42.58429741,8.142645532,15.14663692,62.24835495,83.54999929,27.74491202,300.894912
1,210 ppm,fifty,one,7,Soybean,0.0165,1.75,0.102,0.1,0.101,0.297,0.295,0.296,742.205,12.756,0.0344,0.1394,370.8139535,1.2689,1.5112,0.4453,0.0334,3.2254,5.041817065,42.06431755,7.917106479,15.31985419,55.22216675,85.27521696,27.18952815,300.3395282
2,210 ppm,eighty,one,7,Soybean,0.0131,1.909,0.08,0.078,0.079,0.25,0.245,0.247,456.983,15.767,0.0243,0.1261,648.8477366,0.7521,0.834,0.174,0.0034,1.7601,5.185491558,41.76680285,7.368721659,11.13269951,38.43142372,57.55727273,26.89772757,300.0477276
3,630 ppm,zero,one,7,Soybean,0.0191,1.716,0.109,0.118,0.112,0.33,0.341,0.335,422.196,38.393,0.108,0.4678,355.4907407,1.0918,1.2857,0.7501,0.0213,3.1276,5.667507171,43.06088602,18.83270371,25.65143215,131.6588068,147.9441495,26.24651114,299.3965111
4,630 ppm,thirty,one,7,Soybean,0.0166,1.948,0.141,0.141,0.142,0.441,0.442,0.444,537.096,39.343,0.0898,0.3851,438.1180401,1.0089,1.3638,0.6416,0.0052,3.0143,5.684039162,43.77219718,10.01070247,17.82957326,93.3798991,106.4459595,28.02624839,301.1762484
1,630 ppm,fifty,one,7,Soybean,0.0152,2.025,0.107,0.105,0.105,0.318,0.3131,0.313,360.715,9.342,0.022,0.0887,424.6363636,0.6147,0.7204,0.1982,0.0017,1.5333,6.343012451,43.2732741,7.137073665,13.34172962,53.13763993,79.84246584,27.3290302,300.4790302
2,630 ppm,eighty,one,7,Soybean,0.0103,1.759,0.083,0.076,0.078,0.268,0.262,0.26,386.267,47.846,0.062,0.3397,771.7096774,0.7188,0.7919,0.1284,0,1.6391,5.88444972,42.17007126,7.706769665,10.5146224,60.48341651,64.6965083,26.95597888,300.1059789
3,0 ppm,zero,one,8,Soybean,0.016,1.768,0.11,0.112,0.133,0.334,0.357,0.353,111.102,16.932,0.0383,0.1749,442.0887728,0.1192,0.2565,0.096,0,0.4717,5.496047512,42.29523381,14.98181596,19.10861613,84.36765613,108.3793419,25.01100733,298.1610073
4,0 ppm,thirty,one,8,Soybean,0.0167,1.915,0.139,0.15,0.15,0.399,0.411,0.418,215.263,32.597,0.085,0.3096,383.4941176,0.4087,0.6051,0.2032,0.0016,1.217,4.279667441,43.04727193,17.23165622,21.60037508,98.20311391,125.7224805,24.95624458,298.1062446
1,0 ppm,fifty,one,8,Soybean,0.0118,1.642,0.073,0.096,0.094,0.226,0.25,0.259,235.147,32.152,0.0597,0.2682,538.559464,0.3669,0.5491,0.0815,0.0036,0.9975,5.268912884,43.1889801,14.77491539,17.25377813,75.13751973,97.44978179,24.95611818,298.1061182
2,0 ppm,eighty,one,8,Soybean,0.012,1.872,0.111,0.107,0.101,0.28,0.285,0.271,184.244,16.501,0.0248,0.1207,665.3629032,0.307,0.324,0.0408,0.0057,0.6718,5.390775489,43.24414074,8.441607109,10.61275554,41.45304248,55.39503165,24.96819501,298.118195
3,70 ppm,zero,one,8,Soybean,0.0188,1.983,0.152,0.165,0.175,0.429,0.444,0.468,404.822,33.817,0.0982,0.3446,344.3686354,0.9601,1.2508,0.6674,0.0682,2.8783,4.228441849,44.09904794,17.47577718,24.9894063,102.7552185,133.8438471,24.997739,298.147739
4,70 ppm,thirty,one,8,Soybean,0.016,1.9,0.101,0.106,0.106,0.311,0.312,0.325,206.711,36.025,0.0788,0.346,457.1700508,0.4225,0.6257,0.1288,0.0349,1.177,4.461644814,42.74259249,18.57621859,23.35530828,118.0084724,141.7360864,27.09531818,300.2453182
1,70 ppm,fifty,one,8,Soybean,0.0141,1.865,0.086,0.102,0.106,0.243,0.265,0.274,236.493,15.118,0.0289,0.1392,523.1141869,0.3788,0.4866,0.0379,9.00E-04,0.9033,5.095804976,42.48479274,10.49112971,18.093892,49.1764179,89.79537652,25.91878065,299.0687806
2,70 ppm,eighty,one,8,Soybean,0.0141,2,0.123,0.134,0.123,0.34,0.351,0.346,128.656,23.097,0.0359,0.1613,643.3704735,0.1573,0.2383,0.0846,0,0.4802,4.759308039,42.62139661,12.7566586,13.9065417,62.04162907,80.54461329,24.97995572,298.1299557
3,210 ppm,zero,one,8,Soybean,0.0209,2.019,0.113,0.139,0.228,0.33,0.357,0.484,431.229,24.414,0.0732,0.2844,333.5245902,1.2728,1.5026,0.7747,0.0394,3.5501,4.361212674,42.45113279,17.52425509,25.16260825,100.554143,147.9726772,26.24588123,299.3958812
4,210 ppm,thirty,one,8,Soybean,0.0194,2.017,0.123,0.141,0.135,0.36,0.385,0.381,516.033,52.587,0.1314,0.5608,400.2054795,1.0252,1.648,0.7693,0.0411,3.4425,4.765113091,42.76368218,12.68370845,21.06761788,73.66754751,115.8945264,25.0156044,298.1656044
1,210 ppm,fifty,one,8,Soybean,0.0183,1.985,0.122,0.125,0.113,0.341,0.345,0.344,636.978,18.269,0.0485,0.1916,376.6804124,1.2021,1.5268,0.3999,0.0224,3.1288,4.653690201,42.16560261,8.428486947,13.03840658,44.62469508,72.57368107,25.07164135,298.2216413
2,210 ppm,eighty,one,8,Soybean,0.015,1.93,0.096,0.101,0.115,0.283,0.281,0.302,361.929,10.002,0.0194,0.0891,515.5670103,0.4821,0.6549,0.0806,0.0052,1.2176,5.490679597,42.16179131,6.557944353,11.31628499,42.3333648,65.17445237,27.77374634,300.9237463
3,630 ppm,zero,one,8,Soybean,0.0199,2.031,0.176,0.145,0.141,0.483,0.454,0.45,293.808,34.082,0.09822,0.3602,346.9965384,0.7083,0.8836,0.321,0.0032,1.9129,5.156809885,43.15636418,17.41066062,25.83118737,107.2035099,147.9333722,24.95796716,298.1079672
4,630 ppm,thirty,one,8,Soybean,0.0199,1.918,0.109,0.117,0.134,0.321,0.33,0.354,348.844,45.561,0.0971,0.4549,469.2173018,0.5404,0.8677,0.2058,0.0039,1.6139,5.570176505,42.20826325,15.43629748,22.18308048,83.84533966,119.3926482,24.99537595,298.145376
1,630 ppm,fifty,one,8,Soybean,0.0119,1.526,0.104,0.097,0.111,0.3,0.299,0.319,79.778,21.216,0.0364,0.1472,582.8571429,0.1308,0.1619,0.0266,0,0.3193,5.398389911,41.61729372,10.20273441,14.73639792,51.92652841,77.16546563,24.98789912,298.1378991
2,630 ppm,eighty,one,8,Soybean,0.0123,1.611,0.115,0.1,0.126,0.288,0.277,0.296,311.903,21.513,0.0345,0.1746,623.5652174,0.4961,0.607,0.0557,0.0035,1.1588,5.163156741,42.3234584,8.236063079,10.40526634,44.12280379,55.87773837,24.96467771,298.1146777
12,0 ppm,thirty,three,1,Cotton,0.0224,1.805,0.108,0.099,0.173,0.241,0.233,0.415,200.771,36.096,0.1439,0.5008,250.8408617,0.6457,0.7286,0.2551,0,1.6294,2.11175645,40.9944065,7.175791803,9.708186707,37.4080242,57.84459311,24.93486364,298.0848636
9,0 ppm,fifty,three,1,Cotton,0.0248,2.004,0.141,0.134,0.145,0.353,0.341,0.351,131.438,32.589,0.1187,0.4688,274.5492839,0.6462,0.5399,0.289,0,1.4751,1.920437295,37.35504302,7.966781499,11.63474504,40.62737835,60.93337261,24.99842874,298.1484287
10,0 ppm,eighty,three,1,Cotton,0.0164,1.818,0.128,0.129,0.129,0.325,0.328,0.326,99.168,34.515,0.0718,0.3503,480.7103064,0.1857,0.2897,0.0541,0,0.5295,3.034282793,37.53734026,9.165920785,8.134784321,39.88635544,52.59922879,24.99535542,298.1453554
11,0 ppm,zero,three,1,Cotton,0.0274,1.83,0.0274,0.105,0.099,0.115,0.295,0.28,194.765,47.275,0.2289,0.8229,206.5312363,0.8663,0.9207,0.5648,0,2.3518,2.99388666,38.95152403,21.97183662,19.94133229,131.9136802,139.6346938,24.97925455,298.1292545
12,70 ppm,thirty,three,1,Cotton,0.0245,1.865,0.135,0.132,0.139,0.353,0.337,0.346,312.406,58.546,0.2357,0.8902,248.3920238,1.0342,1.2531,0.5946,0,2.8819,2.702641716,39.09450556,11.08947539,14.13449144,61.98738524,83.20970355,24.93362786,298.0836279
9,70 ppm,fifty,three,1,Cotton,0.0193,1.529,0.147,0.171,0.168,0.377,0.39,0.396,306.564,84.26,0.2721,1.227,309.6655641,0.8668,1.055,0.2716,0,2.1934,3.12121069,34.87796889,19.87406818,15.56093142,106.0533706,114.1719332,24.97782375,298.1278238
10,70 ppm,eighty,three,1,Cotton,0.024,1.788,0.136,0.151,0.138,0.347,0.353,0.349,152.721,42.474,0.1057,0.6072,401.8353832,0.2381,0.3966,0.0728,0,0.7075,4.027701956,36.08579495,11.30368728,11.09543015,59.65581764,68.81793911,25.00744428,298.1574443
11,70 ppm,zero,three,1,Cotton,0.0316,1.878,0.076,0.086,0.071,0.379,0.396,0.387,478.719,84.476,0.3984,1.706,212.0381526,1.5627,2.0372,0.4603,0,4.0602,3.913153829,37.3135175,17.23987324,18.64835234,103.6086315,126.5444661,25.01951591,298.1695159
12,210 ppm,thirty,three,1,Cotton,0.0199,1.723,0.127,0.118,0.122,0.312,0.306,0.311,320.832,64.13,0.2208,0.9699,290.4438406,0.7809,1.2294,0.22,0,2.2303,3.996872453,38.50126718,14.46155438,14.14365117,84.27511678,93.36621969,24.98609502,298.136095
9,210 ppm,fifty,three,1,Cotton,0.0213,1.635,0.144,0.164,0.135,0.367,0.377,0.351,88.381,46.359,0.1413,0.6576,328.089172,0.199,0.3161,0.0211,0,0.5362,4.485500281,37.79076017,17.89933316,16.60146434,108.9265579,113.7916747,25.42194399,298.571944
10,210 ppm,eighty,three,1,Cotton,0.023,1.874,0.23,0.149,0.157,0.368,0.376,0.378,72.209,45.905,0.113,0.5038,406.2389381,0.1846,0.2116,0.7814,0,1.1776,3.890783146,35.43183041,8.446320227,10.00195364,40.09625505,58.93650082,25.01264164,298.1626416
11,210 ppm,zero,three,1,Cotton,0.0246,1.826,0.02,0.018,0.011,0.318,0.328,0.315,451.327,86.338,0.3344,1.3583,258.187799,1.3411,1.8715,0.5652,0,3.7778,4.346198368,38.98414832,20.83036238,18.89273767,122.2362395,124.3680598,24.98548091,298.1354809
12,630 ppm,thirty,three,1,Cotton,0.0236,1.599,0.17,0.16,0.168,0.42,0.417,0.421,197.464,52.42,0.1842,0.9713,284.5819761,0.436,0.712,0.1444,0,1.2924,4.757757766,36.40052874,19.0326127,19.20869401,106.5712559,121.2163708,24.96227566,298.1122757
9,630 ppm,fifty,three,1,Cotton,0.0221,1.908,0.131,0.156,0.13,0.329,0.351,0.34,607.151,94.957,0.2912,1.4647,326.0885989,1.17,1.8849,0.2119,0,3.2668,4.507029375,35.82740953,15.6101194,15.19771635,94.10410377,97.67662512,25.00210704,298.152107
10,630 ppm,eighty,three,1,Cotton,0.0195,1.818,0.137,0.143,0.14,0.347,0.353,0.35,179.376,50.877,0.1497,0.6586,339.8597194,0.317,0.4944,0.0662,0,0.8776,3.803767483,34.37537528,8.568105221,9.003256216,47.81100655,57.15479941,24.98188856,298.1318886
11,630 ppm,zero,three,1,Cotton,0.0285,1.817,0.152,0.148,0.141,0.435,0.445,0.427,381.688,78.5,0.4223,1.4805,185.8868103,1.2786,1.771,0.8566,0,3.9062,4.794026468,44.87212719,22.54451736,24.95784625,157.5764956,153.0170321,24.97827614,298.1282761
12,0 ppm,thirty,three,2,Cotton,0.0278,1.819,0.361,0.358,0.377,0.141,0.142,0.163,128.895,13.491,0.0714,0.2543,188.9495798,0.6353,0.6147,0.409,0,1.659,2.257271907,41.35309921,4.556086865,12.34820412,40.60154498,76.84418373,25.20146305,298.3514631
9,0 ppm,fifty,three,2,Cotton,0.0293,2.027,0.439,0.43,0.427,0.18,0.171,0.191,185.844,21.146,0.0983,0.4125,215.1169888,0.5011,0.863,0.3668,0,1.7309,3.284922295,37.85632752,13.24682425,13.89450293,93.10641422,91.25317223,25.34230733,298.4923073
10,0 ppm,eighty,three,2,Cotton,0.0172,1.988,0.436,0.442,0.437,0.166,0.169,0.163,116.623,41.113,0.1282,0.4098,320.6942278,0.3297,0.4071,0.2327,0,0.9695,2.755752612,35.69440329,3.603918905,6.031654896,18.11841884,32.74589529,24.97805543,298.1280554
11,0 ppm,zero,three,2,Cotton,0.029,1.967,0.582,0.582,0.606,0.205,0.204,0.224,223.096,48.084,0.2656,0.9386,181.0391566,1.02,1.1198,0.7062,0,2.846,3.235498697,38.10795607,19.11056324,19.95255199,116.6882763,131.9323539,24.98747536,298.1374754
12,70 ppm,thirty,three,2,Cotton,0.0267,1.945,0.433,0.438,0.452,0.154,0.17,0.169,205.898,49.431,0.2465,0.9124,200.5314402,1.1135,0.9633,0.687,0,2.7638,2.672398338,38.20458638,17.64807679,18.29128731,94.75022288,113.8999747,24.95560674,298.1056067
9,70 ppm,fifty,three,2,Cotton,0.0233,2.025,0.455,0.474,0.441,0.182,0.205,0.173,296.219,40.91,0.1628,0.6904,251.2899263,0.9499,1.3261,0.5245,0,2.8005,3.375541786,38.20200662,13.79462126,16.02531495,84.23506472,97.48683025,24.93501847,298.0850185
10,70 ppm,eighty,three,2,Cotton,0.0151,1.692,0.372,0.382,0.389,0.147,0.157,0.159,31.517,35.486,0.1159,0.4389,306.1777394,0.1681,0.103,0.0987,0,0.3698,3.269277773,33.62489514,5.371075495,6.134250664,32.86629773,44.88696747,25.22914927,298.3791493
11,70 ppm,zero,three,2,Cotton,0.0262,1.802,0.45,0.44,0.443,0.171,0.169,0.165,277.247,41.983,0.2831,0.7289,148.2974214,1.4723,1.5205,0.9088,0,3.9016,2.59884362,40.9032629,14.94593572,22.90877569,84.04273533,126.070051,25.12722229,298.2772223
